ID,Lake,Code,sample_date,Chla,TSS,closest_date,closest_WV3_scene,coastalblue,blue,green,yellow,red,rededge,nir,nir2,WV3_1,WV3_2,WV3_3,WV3_4,WV3_5,WV3_6,WV3_7,WV3_8,WV3_9,WV3_10,WV3_11,WV3_12,WV3_13,WV3_14,WV3_15,WV3_16,WV3_17,WV3_18,WV3_19,WV3_20,WV3_21,WV3_22,WV3_23,WV3_24,WV3_25,WV3_26,WV3_27,WV3_28,WV3_29,WV3_30,WV3_31,WV3_32,WV3_33,WV3_34,WV3_35,WV3_36,WV3_37,WV3_38,WV3_39,WV3_40,WV3_41,WV3_42,WV3_43,WV3_44,WV3_45,WV3_46,WV3_47,WV3_48,WV3_49,WV3_50,WV3_51,WV3_52
D-6_2021-08-13,Laguna-embalse de las Yeguas,D-6,8/13/2021,0.3541,0.85,8/16/2021,21AUG16105641-M2AS-21EUSI-1265-02,,,,,,,,,0.801365827,1.431378601,0.862160054,0.737021594,1.247869532,-0.074021535,-2.976156063,-0.074021535,1.822468113,0.074021535,0.272879317,0.22656456,-1.059843244,-0.019059397,0.549242349,-0.110268647,1.159877444,1.660223753,1.942112162,1.786173745,2.071742638,2.423502595,-0.138771232,0.60232845,0.177421402,0.368766609,0.392750409,0.320216263,-0.151396164,-0.320216263,0.152980877,-0.027706778,-0.003702343,-116.4343995,-0.007404685,1.104892259,1.097158571,0.559855951,-0.282169677,0.074021535,0.698627183,0.943307905,0.482685437,0.023173418,-0.117833129,-0.119643013,401.9287863,4.93326419,4.196242596,2.254130434,-0.839661181,1.284051264
D-6_2021-07-19,Laguna-embalse de las Yeguas,D-6,7/19/2021,0.2281,1.16,7/16/2021,21JUL16110556-M2AS-21EUSI-1099-01,,,,,,,,,0.710367527,1.977089219,0.888149276,0.559721477,1.407722006,-0.059238285,-4.411786241,-0.059238285,1.825004274,0.059238285,0.189783087,0.16443038,-1.072038598,-0.023010645,0.901927937,-0.169339319,1.125936853,2.226077613,3.532273282,2.783192,3.133698441,4.972458829,-0.146494387,0.449220636,0.328202868,0.434518788,0.482567504,0.558720343,-0.282280221,-0.558720343,0.033661068,-0.033885578,-0.00159642,-278.1690393,-0.00319284,1.055300266,1.045246024,0.359299682,-0.47134589,0.059238285,0.505794069,0.962429502,0.319111752,0.027891546,-0.070489561,-0.130108884,1381.774859,6.6684129,6.108691422,2.576418141,-0.56721651,1.029479279
D-6_2021-06-15,Laguna-embalse de las Yeguas,D-6,6/15/2021,0.156,2.14,6/20/2021,21JUN20105413-M2AS-21EUSI-0935-01,,,,,,,,,0.715233163,1.803507086,0.83092979,0.923985456,1.398145461,-0.092341176,-5.952697333,-0.092341176,1.893655043,0.092341176,0.210420342,0.182018057,-1.140887498,-0.024544183,0.843670234,-0.166022231,1.203471114,2.170468682,1.951878218,2.521565245,3.034630935,2.72900967,-0.157896157,0.460729984,0.286607831,0.463446277,0.449708423,0.322465274,-0.039508897,-0.322465274,0.052946105,-0.06393889,-0.002889522,-143.7832432,-0.005779045,1.064413095,1.067909161,0.39657907,-0.432070724,0.092341176,0.554475227,0.939693318,0.329529363,0.027464941,-0.18800435,-0.13120062,1030.048674,4.759555409,3.835569952,1.883691734,-0.88100584,1.044762526
D-6_2021-10-13,Laguna-embalse de las Yeguas,D-6,10/13/2021,0.7517,1.22,10/12/2021,21OCT12105905-M2AS-21EUSI-1628-02,,,,,,,,,0.806584332,1.656879663,0.788069287,0.476114651,1.239795964,-0.118524889,-5.415290557,-0.118524889,1.604849074,0.118524889,0.273088016,0.233952403,-1.180128231,-0.019730613,0.636251831,-0.107061522,1.26892396,2.102454303,3.480001421,2.05419272,2.60661436,4.314491717,-0.116734891,0.475634595,0.247237266,0.361633058,0.419439873,0.55357157,-0.354908305,-0.55357157,0.127929884,-0.079389276,-0.005262252,-74.87947132,-0.010524504,1.092412343,1.075079191,0.486809242,-0.345162475,0.118524889,0.603544133,0.920233228,0.383639412,0.032620721,-0.128038637,-0.091995183,514.5411713,6.965046295,6.488931644,3.008930223,-0.715352389,1.190223744
D-6_2021-09-03,Laguna-embalse de las Yeguas,D-6,9/3/2021,0.3562,1.99,9/11/2021,21SEP11110808-M2AS-21EUSI-1467,,,,,,,,,0.848586138,1.515134383,0.963582731,0.803098557,1.178430752,-0.018546338,-0.763148414,-0.018546338,1.524807848,0.018546338,0.26070033,0.212980557,-0.940550561,-0.013388447,0.518423289,-0.081907929,1.037793609,1.572396779,1.886610766,1.785480949,1.852960718,2.223240143,-0.099934279,0.635971794,0.20481386,0.39726956,0.425075413,0.307145936,-0.109201709,-0.307145936,0.169662566,0.029173435,-0.000901751,-534.2841292,-0.001803502,1.102116001,1.092993907,0.560073184,-0.28199114,0.018546338,0.660007463,0.985520746,0.539676848,0.025511142,-0.030351993,-0.096294946,423.1479797,4.87189551,4.068796953,2.182186187,-0.730647673,1.388262986
D-6_2021-09-21,Laguna-embalse de las Yeguas,D-6,9/21/2021,1.0815,1.07,9/18/2021,21SEP18111904-M2AS-21EUSI-1467-02,,,,,,,,,0.80747017,1.953506773,0.785563184,0.549874785,1.238435842,-0.120094779,-8.611120748,-0.120094779,1.488497874,0.120094779,0.195219779,0.170317467,-1.21636982,-0.014765393,0.726535902,-0.106518953,1.27297208,2.48675958,3.552639301,2.419292805,3.079692194,4.399715843,-0.098556008,0.402129747,0.322838865,0.429122987,0.465107628,0.560694387,-0.290426826,-0.560694387,0.09942935,-0.095192467,-0.003398818,-115.5641744,-0.006797636,1.058047784,1.050002545,0.413343932,-0.415083728,0.120094779,0.51189994,0.927395861,0.324707775,0.030226115,-0.150100464,-0.077421972,1266.781693,6.805271558,6.255396772,2.702757472,-0.712277693,1.132177945
D-6_2022-08-01,Laguna-embalse de las Yeguas,D-6,8/1/2022,0.5996,3.68,7/31/2022,22JUL31111807-M2AS-22EUSI-1121,,,,,,,,,1.005844367,1.713073346,0.823322203,0.671537808,0.994189591,-0.096898835,-2.457818149,-0.096898835,0.986041188,0.096898835,0.457460403,0.385576405,-1.055397639,0.000869051,0.410443424,0.002913669,1.214591318,2.080684014,2.550970812,1.703119689,2.068594389,2.536148627,0.003411627,0.48061118,0.262828628,0.40909017,0.434452404,0.436773743,-0.196502999,-0.436773743,0.228693277,-0.025014836,-0.007712841,-53.37347156,-0.015425682,1.171523473,1.155031182,0.587157794,-0.260114153,0.096898835,0.583746167,0.934879093,0.483420049,0.062258206,-0.144106183,0.002808868,159.332867,5.866171257,5.194633449,2.643662638,-0.777817576,1.489264416
D-6_2022-06-14,Laguna-embalse de las Yeguas,D-6,6/14/2022,0.0189,12.13,6/16/2022,22JUN16105758-M2AS-22EUSI-0715-01,,,,,,,,,1.146320005,1.298052393,0.559737048,0.293650175,0.872356755,-0.282267419,-7.272974149,-0.282267419,0.444099014,0.282267419,0.431524765,0.370990664,-1.617871682,0.017918684,0.101971827,0.068172502,1.786553173,2.319039621,4.420403951,1.132364774,2.023029879,3.856169248,0.112722726,0.431212986,0.129697823,0.22830651,0.300158377,0.63102381,-0.54601301,-0.63102381,0.339809289,-0.221733318,-0.023806645,-11.75589962,-0.047613289,1.179550414,1.144493647,0.883107655,-0.06207417,0.282267419,0.770384929,0.808419097,0.494308072,0.032233588,-0.230971477,0.063095086,152.7509288,9.388249009,9.094598834,4.674194883,-1.155529363,1.640628077
D-6_2022-10-28,Laguna-embalse de las Yeguas,D-6,10/28/2022,0.3261,1.83,10/27/2022,22OCT27111701-M2AS-22EUSI-1602-01-west,,,,,,,,,0.834195731,1.988583176,0.678530007,0.45283373,1.198759431,-0.191518765,-11.20500049,-0.191518765,1.399814269,0.191518765,0.255848445,0.227158576,-1.402801918,-0.016712099,0.695888838,-0.09039617,1.473774174,2.930722528,4.391420168,2.383832836,3.513231268,5.26425634,-0.083378091,0.341212786,0.330786569,0.418844024,0.45461187,0.629040227,-0.376620021,-0.629040227,0.112565806,-0.162828896,-0.006796259,-49.91937207,-0.013592519,1.073068584,1.062628418,0.419492502,-0.408954255,0.191518765,0.502870592,0.892433981,0.28463825,0.041799657,-0.214540927,-0.056574536,824.3505564,7.987559836,7.534726105,3.143305937,-0.844733947,1.118833981
D-6_2022-09-05,Laguna-embalse de las Yeguas,D-6,9/5/2022,0.333,5.45,9/7/2022,22SEP07112452-M2AS-22EUSI-1297-35ONA,,,,,,,,,0.869815323,2.555917659,0.614699971,0.30758115,1.14966933,-0.238620199,-17.54804251,-0.238620199,1.245862936,0.238620199,0.253933756,0.231976889,-1.569133387,-0.013664283,0.758420419,-0.06962435,1.626809902,4.157992155,8.309734388,2.938460143,4.780316055,9.553446766,-0.050934613,0.240500694,0.43755728,0.482334511,0.52045472,0.7851711,-0.52954178,-0.7851711,0.0950757,-0.216663332,-0.006881391,-44.66393483,-0.013762781,1.05897134,1.047225187,0.340314298,-0.49218732,0.238620199,0.391248911,0.891645402,0.209191189,0.055576831,-0.19279491,-0.031309505,1275.036056,12.84326615,12.535685,4.225950613,-0.841638802,1.079006512
